region speed urban rural population longitude latitude area netizen_rate urban_netizen rural_netizen total_netizen
Singapore 235.40 5792 0 5792 103.819836 1.352083 709 92.00434653 5328.891751017601 0.0 5328.891751017601
United_Arab_Emirates 221.87 8256 1286 9542 53.847818 23.424076 71020 100 8256.0 1286.0 9542.0
Chile 220.39 15934 2263 18197 -71.542969 -35.675147 743532 88.3 14069.722 1998.229 16067.951
China 216.83 837022 578024 1415046 104.195397 35.86166 9424703 73.0532414 611471.702231108 422265.268069936 1033736.9703010442
Denmark 203.78 5057 698 5754 9.501785 56.26392 40000 98.8658506 4999.646064842 690.083637188 5688.741043524001
Thailand 201.02 34556 34627 69183 100.992541 15.870032 510890 85.26960482 29465.7646415992 29526.3060610214 58992.07070262059
Monaco 199.19 39 0 39 7.412841 43.750298 2.0269999504089355 97.05297684 37.8506609676 0.0 37.8506609676
United_States_of_America 197.84 268787 57980 326767 -95.712891 37.09024 9147420 90.9 244327.383 52703.82 297031.203
China_Hong_Kong_SAR 197.24 7429 0 7429 114.109497 22.396428 1050 93.08715788 6915.4449589052 0.0 6915.4449589052
Romania 179.65 10573 9008 19581 24.96676 45.943161 230080 83.59043346 8838.0165297258 7529.8262460768 16367.842775802601
Spain 178.40 37267 9130 46397 -3.74922 40.463667 499603.46875 93.89752157 34992.7893634919 8572.843719340999 43565.6330828329
France 166.47 52476 12757 65233 2.213749 46.227638 547557 86.09548575 45179.46710217 10983.2011171275 56162.6682192975
Switzerland 159.53 6305 2239 8544 8.227512 46.818188 39516.03125 95.56937176 6025.648889468001 2139.7982337064 8165.447123174399
China_Macao_SAR 159.19 632 0 632 113.543873 22.198745 32.900001525878906 88.1 556.7919999999999 0.0 556.7919999999999
Canada 149.99 30084 6869 36954 -106.346771 56.130366 8965590 92.3 27767.531999999996 6340.0869999999995 34108.541999999994
Japan 146.90 116522 10664 127185 138.252924 36.204824 364500 90.21945812 105125.5169905864 9621.003013916801 114745.61780992201
New_Zealand 142.51 4110 639 4750 174.885971 -40.900557 263310 91.5 3760.65 584.685 4346.25
Hungary 136.24 6913 2776 9689 19.503304 47.162494 91260 88.64083466 6127.7409000458 2460.6695701616 8588.4104702074
Kuwait 133.20 4197 0 4197 47.481766 29.31166 17820 99.70000672 4184.4092820384 0.0 4184.4092820384
