theta,success,failure,failRate,totLatency
0,8.54784e+11,1.97383e+09,0.00230384,1.20263e-06
1,9.66094e+11,1.19567e+09,0.0012361,1.20233e-06
2,1.01061e+12,1.2876e+09,0.00127246,1.20208e-06
3,1.01648e+12,1.07194e+09,0.00105345,1.20176e-06
4,1.00761e+12,1.58486e+09,0.00157042,1.20205e-06
5,1.00939e+12,1.59266e+09,0.00157536,1.20069e-06
6,9.53968e+11,9.86676e+08,0.00103322,1.20097e-06
7,1.01686e+12,1.57865e+09,0.00155007,1.19259e-06
8,8.08628e+11,2.02614e+09,0.00249939,1.19431e-06
9,1.00321e+12,2.09871e+09,0.00208764,1.19347e-06
10,1.00148e+12,1.84461e+09,0.0018385,1.19388e-06
11,1.01016e+12,9.00479e+08,0.000890627,1.19937e-06
12,9.60915e+11,6.89346e+09,0.00712275,1.19923e-06
13,1.01698e+12,2.78819e+06,2.74162e-06,1.20545e-06
14,8.05858e+11,5.31803e+07,6.59877e-05,1.20612e-06
15,9.15143e+11,1.60603e+09,0.00175187,1.2043e-06
16,9.99481e+11,1.59604e+10,0.0157177,1.20073e-06
17,9.83428e+11,2.53441e+10,0.0251237,1.20122e-06
18,9.67588e+11,4.28772e+10,0.0424331,1.17408e-06
19,7.70013e+11,3.8892e+10,0.0480798,1.17461e-06
20,9.31654e+11,8.50852e+10,0.0836844,1.16918e-06
21,8.4594e+11,1.67213e+11,0.165043,1.16584e-06
22,9.71402e+11,4.98746e+10,0.0488356,1.17012e-06
23,9.48257e+11,4.95423e+10,0.0496515,1.16798e-06
24,9.67571e+11,4.7854e+10,0.0471271,1.16749e-06
25,9.5838e+11,5.03756e+10,0.0499383,1.16535e-06
26,9.08908e+11,4.88121e+10,0.050967,1.16627e-06
27,7.41221e+11,6.99986e+10,0.0862881,1.16492e-06
28,9.74197e+11,4.07743e+10,0.0401728,1.16535e-06
29,8.68439e+11,4.06251e+10,0.0446889,1.16245e-06
30,9.48519e+11,5.4007e+10,0.0538709,1.16747e-06
31,9.66169e+11,4.47364e+10,0.0442538,1.1659e-06
32,7.81321e+11,3.54977e+10,0.0434585,1.16596e-06
33,9.74682e+11,3.83972e+10,0.0379015,1.1636e-06
34,7.82348e+11,2.26655e+10,0.0281554,1.1623e-06
35,7.83371e+11,1.95341e+10,0.0243293,1.16925e-06
36,9.43406e+11,2.16525e+10,0.0224364,1.17087e-06
37,9.77772e+11,3.8299e+10,0.0376932,1.17098e-06
38,9.72247e+11,2.42474e+10,0.0243327,1.16699e-06
39,8.4839e+11,1.34658e+10,0.0156243,1.16623e-06
40,1.00249e+12,1.71273e+10,0.0167978,1.16717e-06
41,8.81745e+11,2.58185e+10,0.0284482,1.16667e-06
42,1.00666e+12,1.09076e+10,0.0107192,1.16971e-06
43,8.47377e+11,5.63107e+09,0.00660142,1.17048e-06
44,1.00692e+12,2.5596e+09,0.00253557,1.18181e-06
45,1.01591e+12,7.14162e+08,0.000702486,1.18252e-06
46,1.01316e+12,1.56715e+09,0.0015444,1.20104e-06
47,8.49308e+11,2.2805e+09,0.00267794,1.20515e-06
48,9.16999e+11,3.37279e+08,0.000367672,1.20474e-06
49,9.60144e+11,2.20421e+09,0.00229045,1.20453e-06
50,1.01501e+12,2.73208e+09,0.00268444,1.20473e-06
51,9.97871e+11,1.76244e+10,0.0173555,1.19991e-06
52,1.00209e+12,8.67243e+09,0.0085801,1.19975e-06
53,9.93153e+11,1.86515e+10,0.0184339,1.20062e-06
54,9.90375e+11,1.99957e+10,0.0197905,1.20034e-06
55,7.93069e+11,1.75128e+10,0.0216052,1.19929e-06
56,9.73026e+11,2.98668e+10,0.0297807,1.19879e-06
57,8.5648e+11,5.53708e+09,0.0064234,1.1991e-06
58,1.01057e+12,6.40594e+09,0.00629902,1.19526e-06
59,7.68663e+11,3.49662e+10,0.0435104,1.19553e-06
60,9.79052e+11,2.03387e+10,0.0203511,1.19821e-06
61,9.97111e+11,2.34006e+10,0.0229303,1.19888e-06
62,9.81702e+11,2.257e+10,0.022474,1.19881e-06
63,7.92815e+11,2.38736e+10,0.0292322,1.19468e-06
64,8.36185e+11,6.84374e+10,0.075653,1.19452e-06
65,1.01116e+12,6.71739e+09,0.00659942,1.19779e-06
66,9.96799e+11,1.32743e+10,0.013142,1.19832e-06
67,8.06553e+11,3.395e+09,0.00419162,1.20049e-06
