theta,success,fail,fail_rate
0.0,28242482000000.0,29865419589.943,0.0010563473611409154
1.0,28658671000000.0,21445170946.113,0.0007477365439627351
2.0,28891295000000.0,29560641834.0,0.0010221219662408794
3.0,28931871000000.0,24242252818.2,0.0008372067275237841
4.0,28658675000000.0,23146352160.0,0.0008070042650292455
5.0,28803000000000.0,25349236460.0,0.0008793162678888367
6.0,28931440000000.0,18601764515.59,0.000642547070118234
7.0,28663322000000.0,24440139839.0,0.0008519360875855743
8.0,28068758000000.0,20467783593.66,0.0007286702649389081
9.0,28785599000000.0,18204818944.65,0.0006320282924811635
10.0,28236298000000.0,14693408589.2,0.000520102405494086
11.0,29051905000000.0,9156719558.119,0.00031508551361550977
12.0,28966324000000.0,6221316284.8,0.00021473143684421614
13.0,28760925000000.0,8150131366.0,0.00028329486884040193
14.0,28705021000000.0,5455597583.4,0.00019002114314811496
15.0,29076432000000.0,2626343786.7,9.031736019956673e-05
16.0,28416577000000.0,6856754653.09,0.00024123597142683393
17.0,28412852000000.0,12110690660.0,0.00042605827813379626
18.0,28143667000000.0,10423203144.3,0.0003702198532821322
19.0,27900915000000.0,19401726950.5,0.0006948963774387342
20.0,28897920000000.0,46299662600.0,0.0015996168886123288
21.0,28663572000000.0,19410629100.0,0.0006767298000699258
22.0,28759183000000.0,22899235020.0,0.0007956073098887138
23.0,28253750000000.0,23985671517.7,0.000848217544584349
24.0,28024295000000.0,67507118160.0,0.0024030896229459016
25.0,28808038000000.0,40826525317.2,0.0014151865589500563
26.0,29249830000000.0,70067056008.8,0.0023897442707576117
27.0,28558457000000.0,66703950330.0,0.0023302559047875334
28.0,29076937000000.0,49024847320.0,0.0016832009729666998
29.0,28497724000000.0,34000469894.83,0.0011916724462520836
30.0,28685883000000.0,35707520900.0,0.0012432292311255015
31.0,28432614000000.0,43054584800.0,0.0015119780128000952
32.0,28537444000000.0,74306119700.0,0.002597049093087044
33.0,28915448000000.0,22423602228.0,0.0007748877504271444
34.0,28009989000000.0,126711319228.12,0.004503417877380871
35.0,29113938000000.0,31083825450.0,0.0010665226341624147
36.0,28267303000000.0,29283201240.0,0.0010348669281779568
37.0,28826940000000.0,24246029780.0,0.0008403824284718629
38.0,28453458000000.0,75933758098.0,0.002661597511150808
39.0,28919853000000.0,52364965887.0,0.0018074199893379416
40.0,28381645000000.0,111192075144.0,0.003902457128110962
41.0,28775613000000.0,118234307790.0,0.004092023693851359
42.0,27952790000000.0,221691629710.0,0.00786852559076814
43.0,28487950000000.0,158659778910.0,0.0055385185239897865
44.0,28568062000000.0,106534498700.0,0.003715291990414926
45.0,28866394000000.0,162707750200.0,0.005604987422625951
46.0,28107652000000.0,199963117600.0,0.007063933742538232
47.0,28490114000000.0,333937675000.0,0.011585382886668725
48.0,28173292000000.0,305180876100.0,0.010716195261864517
49.0,28074421000000.0,207500493000.0,0.007336859804640856
50.0,28666547000000.0,377027260000.0,0.012981434606664696
51.0,28299351000000.0,518612095000.0,0.017996139882973917
52.0,28064642000000.0,435707633600.0,0.015287799595494433
53.0,28160606000000.0,681452470200.0,0.023627040036136318
54.0,28061216000000.0,964522348000.0,0.033229898803468674
55.0,27541297000000.0,700042231070.0,0.024787855325920285
56.0,28045057000000.0,718032290400.0,0.024963670736149027
57.0,27656788000000.0,744815968760.0,0.02622443329536076
58.0,27950801000000.0,564443149920.0,0.019794435108197506
59.0,27222402000000.0,1005402687840.0,0.03561745941486935
60.0,28309559000000.0,857293400000.0,0.029392729398527762
61.0,27700426000000.0,856458200000.0,0.02999130416335827
62.0,28087635000000.0,824004356000.0,0.028500782880338305
63.0,27246318000000.0,860817113588.94,0.030626284397542926
64.0,28081356000000.0,737701864000.0,0.025597709247862595
65.0,28173721000000.0,735627526000.0,0.025446008419677937
66.0,27817884000000.0,747369035000.0,0.02616357131807217
67.0,28451176000000.0,683606286000.0,0.023463579692802102
68.0,28619435000000.0,584658142000.0,0.02001973282160134
69.0,28803080000000.0,893056650064.0,0.03007315936708135
70.0,27737742000000.0,585549447900.0,0.020673778292226518
71.0,28667334000000.0,451681386900.0,0.015511561119034315
72.0,26728991000000.0,731491744651.0,0.026637978343388248
73.0,27449356000000.0,596594204041.9,0.021272026788235567
74.0,28492268000000.0,596661939320.0,0.020511649640074313
75.0,27494485000000.0,727061937800.0,0.025762653599479754
76.0,28847424000000.0,467545803090.0,0.01594904604134088
77.0,28335886000000.0,464211096900.0,0.016118386522730403
78.0,27972897000000.0,628055065700.0,0.02195923633091927
79.0,28029032000000.0,492905357000.0,0.017281622592128322
80.0,27603967000000.0,600205064500.0,0.021280719147769828
81.0,28019859000000.0,663876674700.0,0.023144707587218535
82.0,28425107000000.0,440665305570.0,0.015266014742483376
83.0,27083112000000.0,549288811400.0,0.019878432393517755
84.0,27976447000000.0,577735634400.0,0.020232959976377897
85.0,28787675000000.0,443458302000.0,0.015170752957760228
86.0,28306766000000.0,567521643500.0,0.01965491410582927
87.0,28094433000000.0,564668320700.0,0.019702931867306994
88.0,28311747000000.0,607684102500.0,0.021013003345265235
