ratio,success,fail,fail_rate
0.0,1365683448000000.0,0.0,0.0
0.05,1355646866000000.0,14185210121228.2,0.010355437260160074
0.1,1351311087000000.0,13188669421653.46,0.009665571107348692
0.15,1341773908000000.0,25670936995000.0,0.018772923155883383
0.2,1344628238000000.0,24606290708200.0,0.017970837130009222
0.25,1343746126000000.0,27505340110800.0,0.020058567513376507
0.3,1332803287000000.0,38480488972300.0,0.0280616526254864
0.35,1326992682000000.0,41416778365000.0,0.030266363661321648
0.4,1316785540000000.0,51784394156000.0,0.03783832514772842
0.45,1313251963000000.0,51837854262000.0,0.03797395131550588
0.5,1314646355000000.0,54001948971000.0,0.039456410251135075
0.55,1301159425000000.0,65049450006000.0,0.0476131074801533
0.6,1301674967000000.0,66076800801000.0,0.04831052121923764
0.65,1291834906000000.0,77489807850000.0,0.05658979719436253
0.7,1290507854000000.0,78081563260000.0,0.05705258441667924
0.75,1287899952000000.0,81944435380000.0,0.059820251216073574
0.8,1276463020000000.0,91312358510000.0,0.0667597618327302
0.85,1273536591000000.0,92364514060000.0,0.06762167020572306
0.9,1267125907000000.0,102191296070000.0,0.0746293815931676
0.95,1259444451000000.0,105293381810000.0,0.07715282692295601
1.0,1260537302000000.0,106662793110000.0,0.07801549567725732
2.0,1166141815000000.0,198161329000000.0,0.14524728603865183
3.0,1086224254000000.0,282138275500000.0,0.20618678852825165
4.0,1023080823000000.0,343970840600000.0,0.251615099676764
5.0,974562131000000.0,391545459100000.0,0.28661392553374115
6.0,920483746000000.0,445208920000000.0,0.3259949555883461
7.0,878015117000000.0,488311543000000.0,0.35739004243685035
8.0,840578291000000.0,525567621000000.0,0.3847082631390255
9.0,811300633000000.0,550343244000000.0,0.4041756095672584
10.0,779075574000000.0,587481873000000.0,0.4298991412982289
12.0,714608072000000.0,654171604000000.0,0.47792323006409104
14.0,665905101000000.0,702312048000000.0,0.5133045207869997
16.0,615675851000000.0,750229613000000.0,0.549254419704115
18.0,569513737000000.0,794693977000000.0,0.5825315081014122
20.0,524300238000000.0,842619995000000.0,0.6164368444168022
25.0,441853423400000.0,925737006000000.0,0.6769110006174485
30.0,365815090900000.0,994752466000000.0,0.7311305204619936
35.0,307926585100000.0,1054339858000000.0,0.7739600893351845
40.0,266170619600000.0,1097289824000000.0,0.8047830277369699
45.0,218320324200000.0,1154023408000000.0,0.8409142556070764
50.0,183258787300000.0,1183379551000000.0,0.8659054248924695
55.0,151390492500000.0,1213643696000000.0,0.8890939920952756
60.0,123495044070000.0,1237986639000000.0,0.9092936426500198
65.0,98595797800000.0,1265529765000000.0,0.9277223442704039
70.0,79271174260000.0,1287821888000000.0,0.9420147929586056
75.0,58856509000000.0,1307197288000000.0,0.9569149405907328
80.0,45799822683000.0,1320768507000000.0,0.9664855231251963
85.0,29007339590000.0,1331642558000000.0,0.9786812613285915
90.0,18101390873900.0,1344319544000000.0,0.9867138045147733
95.0,7553564783730.0,1350991100000000.0,0.9944399584499988
100.0,0.0,1367607070000000.0,1.0
