ratio,success,failure,failRate,totLatency
0,1.01581e+12,0,0,1.2055e-06
0.05,1.01465e+12,545361,5.37487e-07,1.20502e-06
0.1,8.50006e+11,1.38502e+09,0.00162678,1.20278e-06
0.15,9.58061e+11,2.40276e+07,2.50788e-05,1.20447e-06
0.2,1.01115e+12,1.06094e+09,0.00104814,1.20414e-06
0.25,9.67147e+11,2.2316e+08,0.000230688,1.20291e-06
0.3,1.00152e+12,3.66825e+07,3.66255e-05,1.20515e-06
0.35,9.0178e+11,3.3315e+09,0.00368076,1.20403e-06
0.4,1.00074e+12,5.68846e+09,0.00565211,1.20359e-06
0.45,1.01771e+12,1.88733e+09,0.00185106,1.20372e-06
0.5,9.99062e+11,3.21448e+09,0.00320718,1.19972e-06
0.55,1.01603e+12,2.16413e+09,0.00212546,1.19171e-06
0.6,9.11813e+11,3.00469e+09,0.00328447,1.1987e-06
0.65,7.96971e+11,8.14941e+09,0.010122,1.18994e-06
0.7,9.9588e+11,1.26128e+10,0.0125066,1.17459e-06
0.75,1.00459e+12,9.37805e+09,0.00924884,1.17814e-06
0.8,1.00084e+12,1.21288e+10,0.0119735,1.17828e-06
0.85,1.00158e+12,1.29906e+10,0.012804,1.18732e-06
0.9,1.00644e+12,1.12421e+10,0.0110467,1.17438e-06
0.95,1.00292e+12,1.34917e+10,0.0132739,1.15582e-06
1,8.06747e+11,1.0237e+10,0.0125303,1.17896e-06
2,7.61761e+11,4.23939e+10,0.0527186,1.14902e-06
3,9.37931e+11,8.05492e+10,0.0790877,1.04835e-06
4,7.90287e+11,2.11066e+11,0.210781,1.07431e-06
5,7.20311e+11,1.42352e+11,0.165014,9.442e-07
6,8.24155e+11,1.90054e+11,0.187391,9.587e-07
7,6.29933e+11,2.25722e+11,0.2638,8.7522e-07
8,5.78302e+11,4.37284e+11,0.430573,9.0909e-07
9,6.40284e+11,3.75493e+11,0.369661,8.6146e-07
10,8.60718e+11,1.34754e+11,0.135367,8.6208e-07
12,5.07509e+11,5.0986e+11,0.501156,8.3323e-07
14,5.1119e+11,3.05128e+11,0.373786,7.0285e-07
16,4.1752e+11,3.75091e+11,0.473235,7.1642e-07
18,4.99106e+11,5.11267e+11,0.506018,5.4678e-07
20,3.49909e+11,3.85051e+11,0.523908,5.1075e-07
25,2.89794e+11,6.26209e+11,0.683632,3.7344e-07
30,1.91236e+11,6.67571e+11,0.777324,3.4496e-07
35,2.30482e+11,7.3206e+11,0.760548,3.321e-07
40,1.96256e+11,8.13377e+11,0.805617,2.9323e-07
45,9.40802e+10,9.11107e+11,0.906405,2.1383e-07
50,2.21556e+11,7.81155e+11,0.779043,2.0146e-07
55,2.697e+11,7.44663e+11,0.734119,1.5932e-07
60,6.43006e+10,9.48498e+11,0.936512,1.2465e-07
65,2.06395e+11,7.96543e+11,0.79421,7.83e-08
70,5.15222e+10,7.50575e+11,0.935766,7.541e-08
75,6.8899e+10,7.46242e+11,0.915476,7.385e-08
80,6.18669e+09,8.02524e+11,0.99235,5.71e-08
85,1.28589e+09,9.50229e+11,0.998649,2.267e-08
90,1.27047e+11,8.74697e+11,0.873174,2.545e-08
95,9.0772e+08,1.01503e+12,0.999107,8.41e-09
100,0,1.00523e+12,1,0
