ratio,success,failure,failRate,totLatency
0,1.01442e+12,0,0,1.20652e-06
0.05,1.0131e+12,2.20195e+07,2.17343e-05,1.20595e-06
0.1,1.00137e+12,5.14739e+09,0.00511407,1.19746e-06
0.15,9.8419e+11,3.79028e+10,0.0370835,1.20389e-06
0.2,8.59668e+11,2.12248e+06,2.46895e-06,1.20508e-06
0.25,1.01358e+12,5.11328e+09,0.00501943,1.20259e-06
0.3,9.57783e+11,8.79094e+09,0.00909494,1.19266e-06
0.35,9.79041e+11,3.72708e+10,0.0366726,1.19627e-06
0.4,8.1234e+11,9.2137e+08,0.00113293,1.205e-06
0.45,8.92651e+11,2.30758e+10,0.0251995,1.16537e-06
0.5,8.80477e+11,1.57387e+10,0.0175612,1.18396e-06
0.55,9.47299e+11,5.06288e+10,0.0507339,1.15851e-06
0.6,1.01118e+12,6.38126e+09,0.00627111,1.18984e-06
0.65,8.02649e+11,1.3605e+10,0.0166676,1.16233e-06
0.7,1.00315e+12,6.59541e+09,0.00653173,1.1807e-06
0.75,8.56737e+11,5.97207e+10,0.0651648,1.17467e-06
0.8,9.38029e+11,1.78852e+10,0.0187101,1.12239e-06
0.85,9.45363e+11,2.28294e+10,0.0235794,1.15725e-06
0.9,9.44698e+11,1.70322e+10,0.01771,1.15356e-06
0.95,8.26027e+11,3.20681e+10,0.0373713,1.16859e-06
1,8.02291e+11,9.56888e+09,0.0117864,1.19045e-06
2,8.13634e+11,9.31153e+10,0.102691,1.08391e-06
3,9.53074e+11,4.91755e+10,0.0490651,1.09787e-06
4,9.13664e+11,9.89297e+10,0.0976993,1.08936e-06
5,8.46199e+11,1.66777e+11,0.164641,9.7605e-07
6,8.05922e+11,1.58072e+11,0.163976,9.1253e-07
7,5.5352e+11,3.4442e+11,0.383567,8.8045e-07
8,5.01291e+11,3.06287e+11,0.379266,7.195e-07
9,6.06206e+11,4.07064e+11,0.401733,7.4907e-07
10,7.71293e+11,2.34106e+11,0.232849,7.5465e-07
12,5.32002e+11,3.85266e+11,0.420015,5.5588e-07
14,5.51862e+11,4.57525e+11,0.45327,6.3999e-07
16,3.94605e+11,4.10938e+11,0.510138,5.1844e-07
18,4.43651e+11,5.24078e+11,0.541554,4.7512e-07
20,3.81549e+11,5.71628e+11,0.599708,4.0036e-07
25,3.15467e+11,5.98539e+11,0.654852,3.0953e-07
30,1.44773e+11,7.72448e+11,0.842162,2.3888e-07
35,2.03245e+11,8.16577e+11,0.800706,1.8949e-07
40,1.63799e+11,8.36141e+11,0.836191,1.7193e-07
45,6.20067e+10,9.02003e+11,0.935678,1.2997e-07
50,1.42237e+11,7.61082e+11,0.842539,9.553e-08
55,1.12383e+11,8.95147e+11,0.888457,6.493e-08
60,1.45854e+11,8.5231e+11,0.853878,4.977e-08
65,7.77934e+10,8.39715e+11,0.915212,5.256e-08
70,1.04491e+10,9.46319e+11,0.989079,3.412e-08
75,1.09969e+10,9.93608e+11,0.989053,2.603e-08
80,1.22793e+10,1.00419e+12,0.98792,1.687e-08
85,4.51224e+09,1.00295e+12,0.995521,8.05e-09
90,2.85086e+08,1.01658e+12,0.99972,3.89e-09
95,2.67111e+09,1.00585e+12,0.997351,2.98e-09
100,0,9.96251e+11,1,0
