ratio,success,failure,failRate,totLatency
0,1.0183e+12,0,0,1.20744e-06
0.05,1.00749e+12,132.862,1.31875e-10,1.20797e-06
0.1,9.08371e+11,0,0,1.20775e-06
0.15,1.01272e+12,1.26507e+08,0.000124903,1.20761e-06
0.2,9.14821e+11,7.82188e+08,0.000854286,1.20375e-06
0.25,1.01564e+12,1.88991e+08,0.000186046,1.20779e-06
0.3,1.01e+12,9.07549e+09,0.0089056,1.20297e-06
0.35,1.01615e+12,3.12464e+09,0.00306555,1.19826e-06
0.4,9.01715e+11,5.53693e+09,0.00610297,1.19755e-06
0.45,9.09931e+11,2.70938e+09,0.00296873,1.20625e-06
0.5,8.64751e+11,5.55756e+10,0.0603869,1.19861e-06
0.55,9.96701e+11,3.59685e+09,0.00359578,1.20295e-06
0.6,9.85653e+11,2.53397e+10,0.0250642,1.16504e-06
0.65,9.83024e+11,2.15664e+10,0.0214679,1.18651e-06
0.7,8.45073e+11,6.14848e+10,0.0678223,1.17887e-06
0.75,8.45103e+11,1.80598e+10,0.0209228,1.19418e-06
0.8,8.3729e+11,1.18598e+10,0.0139666,1.17365e-06
0.85,9.71943e+11,3.96107e+10,0.0391583,1.18334e-06
0.9,9.73219e+11,2.87492e+10,0.0286927,1.19184e-06
0.95,9.19437e+11,9.7927e+10,0.0962557,1.14408e-06
1,7.79053e+11,8.44454e+10,0.0977945,1.13346e-06
2,7.772e+11,2.31992e+11,0.229879,1.06118e-06
3,6.10276e+11,2.41792e+11,0.283771,1.05828e-06
4,6.46347e+11,2.22091e+11,0.255737,9.7857e-07
5,7.29222e+11,2.89323e+11,0.284055,9.37e-07
6,6.73592e+11,3.46438e+11,0.339635,8.8492e-07
7,6.03804e+11,3.61002e+11,0.37417,8.546e-07
8,5.63751e+11,3.81239e+11,0.403432,8.6028e-07
9,4.62347e+11,3.96146e+11,0.461444,8.324e-07
10,5.07224e+11,3.99987e+11,0.440898,8.1959e-07
12,4.36266e+11,5.75503e+11,0.568809,6.8469e-07
14,4.74261e+11,5.24179e+11,0.524998,7.1488e-07
16,5.47686e+11,4.67782e+11,0.460657,6.6286e-07
18,3.55977e+11,5.10347e+11,0.589095,6.3132e-07
20,2.80441e+11,5.26947e+11,0.652656,6.0047e-07
25,3.72661e+11,6.42949e+11,0.633067,5.4464e-07
30,3.1385e+11,6.90522e+11,0.687516,4.7848e-07
35,3.47436e+11,6.57781e+11,0.654368,4.1036e-07
40,1.78268e+11,7.7463e+11,0.81292,4.0277e-07
45,1.43335e+11,8.71151e+11,0.858711,3.146e-07
50,1.64892e+11,8.27326e+11,0.833815,2.7055e-07
55,1.73038e+11,8.3669e+11,0.828629,2.2469e-07
60,1.56012e+11,8.01467e+11,0.837059,1.8086e-07
65,3.49558e+10,9.80669e+11,0.965582,1.2845e-07
70,2.21738e+10,7.86169e+11,0.972569,1.0183e-07
75,1.54026e+10,7.94874e+11,0.980991,7.405e-08
80,9.33941e+09,1.0006e+12,0.990753,5.302e-08
85,4.78012e+09,8.63353e+11,0.994494,3.278e-08
90,3.73775e+09,1.00397e+12,0.996291,1e-08
95,1.52301e+08,1.00928e+12,0.999849,7.72e-09
100,0,8.17351e+11,1,0
